speaker,utterance,emotion
patient,I noticed that it bothered me while chewing.,neutral
dentist,"For this wisdom tooth care, I will proceed gently.",neutral
patient,"Wonderful, I am very happy with that result.",happy
dentist,That spot was a good one to check early.,neutral
patient,"At home, warm salt water helped.",neutral
dentist,I can adjust the treatment based on your comfort.,neutral
patient,"Since my last visit, the pain was worse at night.",neutral
dentist,I appreciate you telling me that detail.,neutral
patient,I wanted to mention that the pain was worse at night.,neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,Do my gums look healthier now?,neutral
dentist,We can keep the treatment conservative today.,neutral
patient,"At home, today it is only a little tender.",neutral
dentist,"For this wisdom tooth care, I will proceed gently.",neutral
patient,I am so happy everything looks better now.,happy
dentist,"Based on your symptoms, i recommend using a soft brush and gentle pressure.",neutral
patient,"At home, warm salt water helped.",neutral
dentist,We can finish this in a straightforward visit.,neutral
patient,"At home, the gum felt irritated.",neutral
dentist,The filling material should blend nicely with your tooth.,neutral
patient,"Since my last visit, today it is only a little tender.",neutral
dentist,I appreciate you telling me that detail.,neutral
patient,I wanted to mention that today it is only a little tender.,neutral
dentist,"Based on your symptoms, avoid very hard food for the rest of the day.",neutral
patient,I noticed that it bothered me while chewing.,neutral
dentist,I appreciate you telling me that detail.,neutral
patient,"Thank you doctor, I am happy to know what is going on and what to do next.",happy
dentist,You did very well today. Keep following the care instructions and we will see you at the next visit.,neutral
patient,"Hi doctor, an old filling felt rough, so I came in before it caused trouble.",neutral
dentist,That was a smart decision. Let me examine the old filling and the surrounding tooth.,neutral
patient,"Since my last visit, there is no major pain.",neutral
dentist,Everything looks manageable from what I can see so far.,neutral
patient,I wanted to mention that there is no major pain.,neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,I noticed that it feels uneven.,neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,"Since my last visit, it feels uneven.",neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,Will it take long today?,neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,That makes me feel happy and relieved.,happy
dentist,I appreciate you telling me that detail.,neutral
patient,"Since my last visit, there is no major pain.",neutral
dentist,I appreciate you telling me that detail.,neutral
patient,"At home, sometimes it catches food.",neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,I wanted to mention that I noticed it with my tongue.,neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,"At home, I noticed it with my tongue.",neutral
dentist,"Based on your symptoms, a follow-up visit will help us confirm the healing.",neutral
patient,"Since my last visit, sometimes it catches food.",neutral
dentist,"For this replacement filling, I will proceed gently.",neutral
patient,I am so happy everything looks better now.,happy
dentist,"Based on your symptoms, your regular visits are really helping prevent bigger problems.",neutral
patient,I wanted to mention that sometimes it catches food.,neutral
dentist,"For this replacement filling, I will proceed gently.",neutral
patient,I wanted to mention that there is no major pain.,neutral
dentist,I appreciate you telling me that detail.,neutral
patient,"At home, there is no major pain.",neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,"Since my last visit, it feels uneven.",neutral
dentist,We can keep the treatment conservative today.,neutral
patient,I wanted to mention that it feels uneven.,neutral
dentist,"Based on your symptoms, you are doing a good job keeping the area clean.",neutral
patient,That makes me feel happy and relieved.,happy
dentist,That matches what I would expect with this kind of visit.,neutral
patient,Can sensitivity last a few days?,neutral
dentist,"Based on your symptoms, please let me know right away if anything feels sharp.",neutral
patient,"Since my last visit, I noticed it with my tongue.",neutral
dentist,"Based on your symptoms, you can rinse whenever you need a break.",neutral
patient,"Since my last visit, I want to fix it before it cracks.",neutral
dentist,I appreciate you telling me that detail.,neutral
patient,"Since my last visit, it feels uneven.",neutral
dentist,I appreciate you telling me that detail.,neutral
patient,I noticed that there is no major pain.,neutral
dentist,I appreciate you telling me that detail.,neutral
patient,I am very happy the new filling feels smooth and comfortable.,happy
dentist,You did very well today. Keep following the care instructions and we will see you at the next visit.,neutral
patient,"Hello doctor, my teeth felt a bit sensitive after whitening, but I am still happy with the brighter smile.",neutral
dentist,That can happen sometimes. Let us check the sensitivity and make sure everything looks healthy.,neutral
patient,Could you tell me what you see?,neutral
dentist,Everything looks manageable from what I can see so far.,neutral
patient,Does the tooth look serious?,neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,I wanted to mention that cold water triggers it.,neutral
dentist,I appreciate you telling me that detail.,neutral
patient,What treatment do you recommend?,neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,I wanted to mention that it is improving each day.,neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,"That is great news, I am really happy to hear that.",happy
dentist,I recommend using a soft brush and gentle pressure.,neutral
patient,"Since my last visit, the front teeth are most sensitive.",neutral
dentist,"For this sensitivity check, I will proceed gently.",neutral
patient,I wanted to mention that the front teeth are most sensitive.,neutral
dentist,"For this sensitivity check, I will proceed gently.",neutral
patient,"Since my last visit, I used the gel as instructed.",neutral
dentist,I appreciate you telling me that detail.,neutral
patient,"Since my last visit, it is improving each day.",neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,"At home, I used the gel as instructed.",neutral
dentist,I appreciate you telling me that detail.,neutral
patient,I am happy I came in early.,happy
dentist,That matches what I would expect with this kind of visit.,neutral
patient,"At home, it is improving each day.",neutral
dentist,"Based on your symptoms, everything looks manageable from what i can see so far.",neutral
patient,"Since my last visit, cold water triggers it.",neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,"Since my last visit, I used the gel as instructed.",neutral
dentist,"Based on your symptoms, i do not see anything alarming at the moment.",neutral
patient,"Since my last visit, it is improving each day.",neutral
dentist,"For this sensitivity check, I will proceed gently.",neutral
patient,I noticed that the front teeth are most sensitive.,neutral
dentist,"For this sensitivity check, I will proceed gently.",neutral
patient,I am happy I came in early.,happy
dentist,The sensitivity should settle after a short time.,neutral
patient,"At home, it is improving each day.",neutral
dentist,"For this sensitivity check, I will proceed gently.",neutral
patient,Should I use a special toothpaste?,neutral
dentist,"For this sensitivity check, I will proceed gently.",neutral
patient,I wanted to mention that cold water triggers it.,neutral
dentist,"Based on your symptoms, the gum tissue looks calmer than before.",neutral
patient,"At home, cold water triggers it.",neutral
dentist,I appreciate you telling me that detail.,neutral
patient,"At home, I used the gel as instructed.",neutral
dentist,"Based on your symptoms, take your time, you are doing well.",neutral
patient,I am happy the sensitivity is normal and that my smile still looks great.,happy
dentist,You did very well today. Keep following the care instructions and we will see you at the next visit.,neutral
patient,"Good afternoon doctor, I wanted to check a tooth that was treated years ago.",neutral
dentist,Good afternoon. Let us review it and make sure the old treatment is still doing well.,neutral
patient,I noticed that it feels mostly normal.,neutral
dentist,"For this follow-up exam, I will proceed gently.",neutral
patient,"Since my last visit, it feels mostly normal.",neutral
dentist,"For this follow-up exam, I will proceed gently.",neutral
patient,"Since my last visit, overall it has been fine.",neutral
dentist,"For this follow-up exam, I will proceed gently.",neutral
patient,"Since my last visit, I had a little sensitivity once.",neutral
dentist,The x-ray gives us a clearer picture of the area.,neutral
patient,"At home, overall it has been fine.",neutral
dentist,"For this follow-up exam, I will proceed gently.",neutral
patient,"Wonderful, I am very happy with that result.",happy
dentist,I recommend using a soft brush and gentle pressure.,neutral
patient,I noticed that it feels mostly normal.,neutral
dentist,I appreciate you telling me that detail.,neutral
patient,"Since my last visit, it feels mostly normal.",neutral
dentist,"For this follow-up exam, I will proceed gently.",neutral
patient,I wanted to mention that it feels mostly normal.,neutral
dentist,The gum tissue looks calmer than before.,neutral
patient,I noticed that I am more careful with brushing now.,neutral
dentist,I appreciate you telling me that detail.,neutral
patient,"Since my last visit, I am more careful with brushing now.",neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,I am really happy my tooth can be treated today.,happy
dentist,That matches what I would expect with this kind of visit.,neutral
patient,"Since my last visit, I just wanted reassurance.",neutral
dentist,"For this follow-up exam, I will proceed gently.",neutral
patient,I noticed that overall it has been fine.,neutral
dentist,"Based on your symptoms, the tooth structure is still in good shape.",neutral
patient,I wanted to mention that it feels mostly normal.,neutral
dentist,Your gums are responding well to your home care.,neutral
patient,I noticed that I am more careful with brushing now.,neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,I wanted to mention that I had a little sensitivity once.,neutral
dentist,I will clean the surface gently first.,neutral
patient,I am happy because this is better than I expected.,happy
dentist,The sensitivity should settle after a short time.,neutral
patient,Can sensitivity last a few days?,neutral
dentist,"For this follow-up exam, I will proceed gently.",neutral
patient,"At home, I am more careful with brushing now.",neutral
dentist,"Based on your symptoms, you can rinse whenever you need a break.",neutral
patient,I noticed that I had a little sensitivity once.,neutral
dentist,"For this follow-up exam, I will proceed gently.",neutral
patient,I noticed that I am more careful with brushing now.,neutral
dentist,I appreciate you telling me that detail.,neutral
patient,I wanted to mention that I had a little sensitivity once.,neutral
dentist,I appreciate you telling me that detail.,neutral
patient,I am happy to hear the tooth is still strong after all these years.,happy
dentist,You did very well today. Keep following the care instructions and we will see you at the next visit.,neutral
patient,"Hi doctor, I am here for the deep cleaning you recommended.",neutral
dentist,Welcome. We will go step by step and keep you comfortable throughout the visit.,neutral
patient,"At home, I really want a cleaner feeling.",neutral
dentist,I appreciate you telling me that detail.,neutral
patient,Does the tooth look serious?,neutral
dentist,I appreciate you telling me that detail.,neutral
patient,I wanted to mention that my gums used to bleed when flossing.,neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,I wanted to mention that I followed the pre-visit advice.,neutral
dentist,"Based on your symptoms, i will clean the surface gently first.",neutral
patient,"At home, I followed the pre-visit advice.",neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,"Wonderful, I am very happy with that result.",happy
dentist,I appreciate you telling me that detail.,neutral
patient,"At home, I really want a cleaner feeling.",neutral
dentist,Please let me know right away if anything feels sharp.,neutral
patient,"At home, I have been nervous but ready.",neutral
dentist,You can rinse whenever you need a break.,neutral
patient,Is the area healing well?,neutral
dentist,"For this deep cleaning, I will proceed gently.",neutral
patient,"Since my last visit, I really want a cleaner feeling.",neutral
dentist,Avoid very hard food for the rest of the day.,neutral
patient,Can I brush normally tonight?,neutral
dentist,"For this deep cleaning, I will proceed gently.",neutral
patient,That makes me feel happy and relieved.,happy
dentist,I appreciate you telling me that detail.,neutral
patient,I noticed that my gums used to bleed when flossing.,neutral
dentist,"For this deep cleaning, I will proceed gently.",neutral
patient,I noticed that I followed the pre-visit advice.,neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,I wanted to mention that my gums used to bleed when flossing.,neutral
dentist,I appreciate you telling me that detail.,neutral
patient,I wanted to mention that I followed the pre-visit advice.,neutral
dentist,"Based on your symptoms, the x-ray gives us a clearer picture of the area.",neutral
patient,I noticed that I want to improve my gum health.,neutral
dentist,"For this deep cleaning, I will proceed gently.",neutral
patient,"Wonderful, I am very happy with that result.",happy
dentist,"Based on your symptoms, i recommend using a soft brush and gentle pressure.",neutral
patient,I wanted to mention that I have been nervous but ready.,neutral
dentist,We can finish this in a straightforward visit.,neutral
patient,Should I use a special toothpaste?,neutral
dentist,"Based on your symptoms, you can rinse whenever you need a break.",neutral
patient,"At home, I want to improve my gum health.",neutral
dentist,"For this deep cleaning, I will proceed gently.",neutral
patient,I wanted to mention that I followed the pre-visit advice.,neutral
dentist,I will check your bite carefully at the end.,neutral
patient,"At home, I followed the pre-visit advice.",neutral
dentist,"For this deep cleaning, I will proceed gently.",neutral
patient,I am happy I finally did the deep cleaning and it feels much better already.,happy
dentist,You did very well today. Keep following the care instructions and we will see you at the next visit.,neutral
patient,"Good morning doctor, I am here for my regular check-up and cleaning.",neutral
dentist,"Good morning. That is great, regular visits help keep your teeth healthy.",neutral
patient,I noticed that I have been flossing more often.,neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,I noticed that I want to keep my teeth clean.,neutral
dentist,I appreciate you telling me that detail.,neutral
patient,"Since my last visit, I want to keep my teeth clean.",neutral
dentist,I appreciate you telling me that detail.,neutral
patient,"Since my last visit, I reduced sugary drinks.",neutral
dentist,I appreciate you telling me that detail.,neutral
patient,Will it take long today?,neutral
dentist,You are doing a good job keeping the area clean.,neutral
patient,"That is great news, I am really happy to hear that.",happy
dentist,"For this cleaning, I will proceed gently.",neutral
patient,"Since my last visit, my gums feel better lately.",neutral
dentist,Please let me know right away if anything feels sharp.,neutral
patient,Should I avoid certain foods?,neutral
dentist,You can rinse whenever you need a break.,neutral
patient,I wanted to mention that I have been flossing more often.,neutral
dentist,"Based on your symptoms, i will check your bite carefully at the end.",neutral
patient,I wanted to mention that I want to keep my teeth clean.,neutral
dentist,"Based on your symptoms, a follow-up visit will help us confirm the healing.",neutral
patient,Can I brush normally tonight?,neutral
dentist,"Based on your symptoms, i will polish the area so it feels smooth.",neutral
patient,I am happy I came in early.,happy
dentist,"For this cleaning, I will proceed gently.",neutral
patient,"Since my last visit, my gums feel better lately.",neutral
dentist,I can adjust the treatment based on your comfort.,neutral
patient,"At home, I changed to a softer toothbrush.",neutral
dentist,"For this cleaning, I will proceed gently.",neutral
patient,"At home, my gums feel better lately.",neutral
dentist,"For this cleaning, I will proceed gently.",neutral
patient,Do my gums look healthier now?,neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,I wanted to mention that I reduced sugary drinks.,neutral
dentist,"Based on your symptoms, you are doing a good job keeping the area clean.",neutral
patient,I feel happy knowing the problem is manageable.,happy
dentist,"For this cleaning, I will proceed gently.",neutral
patient,"Since my last visit, my gums feel better lately.",neutral
dentist,We can finish this in a straightforward visit.,neutral
patient,Should I use a special toothpaste?,neutral
dentist,The filling material should blend nicely with your tooth.,neutral
patient,"Since my last visit, I want to keep my teeth clean.",neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,"Since my last visit, I reduced sugary drinks.",neutral
dentist,I will check your bite carefully at the end.,neutral
patient,Would you like me to open wider?,neutral
dentist,I appreciate you telling me that detail.,neutral
patient,"Thank you, my teeth feel so fresh now and I am very happy with the result.",happy
dentist,You did very well today. Keep following the care instructions and we will see you at the next visit.,neutral
patient,"Hello doctor, I came to check the tooth that was prepared for a crown.",neutral
dentist,"Great, let me see how the temporary crown has been feeling.",neutral
patient,Could you tell me what you see?,neutral
dentist,"Based on your symptoms, i will explain each step before we do anything.",neutral
patient,Does the tooth look serious?,neutral
dentist,The tooth structure is still in good shape.,neutral
patient,I noticed that the bite feels almost normal.,neutral
dentist,"For this crown review, I will proceed gently.",neutral
patient,"Since my last visit, the bite feels almost normal.",neutral
dentist,I appreciate you telling me that detail.,neutral
patient,"At home, I am careful when brushing around it.",neutral
dentist,"Based on your symptoms, the sensitivity should settle after a short time.",neutral
patient,I am really happy my tooth can be treated today.,happy
dentist,I recommend using a soft brush and gentle pressure.,neutral
patient,I wanted to mention that there is mild sensitivity only.,neutral
dentist,"Based on your symptoms, the filling material should blend nicely with your tooth.",neutral
patient,I wanted to mention that I can chew soft food.,neutral
dentist,"Based on your symptoms, we are making good progress here.",neutral
patient,"At home, I can chew soft food.",neutral
dentist,I appreciate you telling me that detail.,neutral
patient,I wanted to mention that I am careful when brushing around it.,neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,I noticed that I can chew soft food.,neutral
dentist,I appreciate you telling me that detail.,neutral
patient,"That is great news, I am really happy to hear that.",happy
dentist,That matches what I would expect with this kind of visit.,neutral
patient,"Since my last visit, I can chew soft food.",neutral
dentist,I appreciate you telling me that detail.,neutral
patient,"Since my last visit, it has stayed in place.",neutral
dentist,I will explain each step before we do anything.,neutral
patient,I noticed that the bite feels almost normal.,neutral
dentist,"For this crown review, I will proceed gently.",neutral
patient,"At home, it has stayed in place.",neutral
dentist,I appreciate you telling me that detail.,neutral
patient,I noticed that I can chew soft food.,neutral
dentist,"Based on your symptoms, you are doing a good job keeping the area clean.",neutral
patient,I am happy because this is better than I expected.,happy
dentist,The sensitivity should settle after a short time.,neutral
patient,Can sensitivity last a few days?,neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,"At home, there is mild sensitivity only.",neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,"Since my last visit, I am careful when brushing around it.",neutral
dentist,"For this crown review, I will proceed gently.",neutral
patient,"At home, it has stayed in place.",neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,I wanted to mention that the bite feels almost normal.,neutral
dentist,A follow-up visit will help us confirm the healing.,neutral
patient,I am happy the crown process is going smoothly.,happy
dentist,You did very well today. Keep following the care instructions and we will see you at the next visit.,neutral
patient,"Hello doctor, I think I may have a cavity, but I feel better knowing you will check it.",neutral
dentist,Of course. We will examine it together and treat it gently.,neutral
patient,"Since my last visit, sweet foods make it ache.",neutral
dentist,"For this cavity treatment, I will proceed gently.",neutral
patient,I wanted to mention that sweet foods make it ache.,neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,I wanted to mention that I noticed a dark spot.,neutral
dentist,"For this cavity treatment, I will proceed gently.",neutral
patient,"Since my last visit, I have no swelling.",neutral
dentist,"For this cavity treatment, I will proceed gently.",neutral
patient,Will it take long today?,neutral
dentist,I appreciate you telling me that detail.,neutral
patient,I feel happy knowing the problem is manageable.,happy
dentist,"Based on your symptoms, we can finish this in a straightforward visit.",neutral
patient,"At home, I have no swelling.",neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,"At home, there is mild sensitivity when I bite.",neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,"Since my last visit, I came in early because I did not want it to get worse.",neutral
dentist,"For this cavity treatment, I will proceed gently.",neutral
patient,Do I need another visit?,neutral
dentist,I appreciate you telling me that detail.,neutral
patient,I wanted to mention that I have no swelling.,neutral
dentist,"Take your time, you are doing well.",neutral
patient,"That is great news, I am really happy to hear that.",happy
dentist,That spot was a good one to check early.,neutral
patient,Should I floss around that tooth?,neutral
dentist,"For this cavity treatment, I will proceed gently.",neutral
patient,I wanted to mention that sweet foods make it ache.,neutral
dentist,I appreciate you telling me that detail.,neutral
patient,I noticed that I have no swelling.,neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,I wanted to mention that I came in early because I did not want it to get worse.,neutral
dentist,I appreciate you telling me that detail.,neutral
patient,I wanted to mention that I have no swelling.,neutral
dentist,I appreciate you telling me that detail.,neutral
patient,"Wonderful, I am very happy with that result.",happy
dentist,I appreciate you telling me that detail.,neutral
patient,I noticed that I noticed a dark spot.,neutral
dentist,We can finish this in a straightforward visit.,neutral
patient,"At home, there is mild sensitivity when I bite.",neutral
dentist,"Based on your symptoms, you can rinse whenever you need a break.",neutral
patient,"Since my last visit, I came in early because I did not want it to get worse.",neutral
dentist,We are making good progress here.,neutral
patient,"Since my last visit, I have no swelling.",neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,Would you like me to open wider?,neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,I am happy we treated the cavity early and saved the tooth.,happy
dentist,You did very well today. Keep following the care instructions and we will see you at the next visit.,neutral
patient,"Hi doctor, I came for my gum treatment follow-up and I think things are improving.",neutral
dentist,Welcome back. I am glad to hear that. Tell me how your gums have felt this week.,neutral
patient,I noticed that the bleeding has reduced.,neutral
dentist,"Based on your symptoms, i will explain each step before we do anything.",neutral
patient,"At home, brushing is more comfortable.",neutral
dentist,"For this gum care, I will proceed gently.",neutral
patient,"At home, the swelling looks smaller.",neutral
dentist,I do not see anything alarming at the moment.,neutral
patient,"Since my last visit, I have been using the mouthwash.",neutral
dentist,I appreciate you telling me that detail.,neutral
patient,"At home, I followed the cleaning instructions carefully.",neutral
dentist,"For this gum care, I will proceed gently.",neutral
patient,That makes me feel happy and relieved.,happy
dentist,"Based on your symptoms, we can finish this in a straightforward visit.",neutral
patient,Do I need an x-ray?,neutral
dentist,I appreciate you telling me that detail.,neutral
patient,"At home, brushing is more comfortable.",neutral
dentist,You can rinse whenever you need a break.,neutral
patient,"At home, the swelling looks smaller.",neutral
dentist,"Based on your symptoms, i will check your bite carefully at the end.",neutral
patient,I wanted to mention that I followed the cleaning instructions carefully.,neutral
dentist,Avoid very hard food for the rest of the day.,neutral
patient,I noticed that the swelling looks smaller.,neutral
dentist,"Based on your symptoms, i will polish the area so it feels smooth.",neutral
patient,"Wonderful, I am very happy with that result.",happy
dentist,"For this gum care, I will proceed gently.",neutral
patient,I noticed that the bleeding has reduced.,neutral
dentist,"For this gum care, I will proceed gently.",neutral
patient,"At home, brushing is more comfortable.",neutral
dentist,I will explain each step before we do anything.,neutral
patient,I noticed that I have been using the mouthwash.,neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,I noticed that brushing is more comfortable.,neutral
dentist,I appreciate you telling me that detail.,neutral
patient,Is there anything I should change at home?,neutral
dentist,"For this gum care, I will proceed gently.",neutral
patient,I am really happy my tooth can be treated today.,happy
dentist,I appreciate you telling me that detail.,neutral
patient,Can sensitivity last a few days?,neutral
dentist,"Based on your symptoms, please let me know right away if anything feels sharp.",neutral
patient,"At home, brushing is more comfortable.",neutral
dentist,I appreciate you telling me that detail.,neutral
patient,I wanted to mention that the bleeding has reduced.,neutral
dentist,"For this gum care, I will proceed gently.",neutral
patient,"At home, the bleeding has reduced.",neutral
dentist,"For this gum care, I will proceed gently.",neutral
patient,"Since my last visit, brushing is more comfortable.",neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,"That is wonderful, I am happy my gums are healing so well.",happy
dentist,You did very well today. Keep following the care instructions and we will see you at the next visit.,neutral
patient,"Hello doctor, my back tooth was sore, but today it feels calmer and I am relieved.",happy
dentist,I am glad it has settled a bit. Let us check the wisdom tooth area carefully.,neutral
patient,"Since my last visit, it bothered me while chewing.",neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,"At home, the gum felt irritated.",neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,I noticed that warm salt water helped.,neutral
dentist,"For this wisdom tooth care, I will proceed gently.",neutral
patient,What treatment do you recommend?,neutral
dentist,The x-ray gives us a clearer picture of the area.,neutral
patient,"Since my last visit, the gum felt irritated.",neutral
dentist,You are doing a good job keeping the area clean.,neutral
patient,I am happy because this is better than I expected.,happy
dentist,I appreciate you telling me that detail.,neutral
patient,Do I need an x-ray?,neutral
dentist,I appreciate you telling me that detail.,neutral
patient,Should I avoid certain foods?,neutral
dentist,You can rinse whenever you need a break.,neutral
patient,I noticed that warm salt water helped.,neutral
dentist,The gum tissue looks calmer than before.,neutral
patient,Do I need another visit?,neutral
dentist,Avoid very hard food for the rest of the day.,neutral
patient,I noticed that it bothered me while chewing.,neutral
dentist,"Based on your symptoms, i will polish the area so it feels smooth.",neutral
patient,I am so happy everything looks better now.,happy
dentist,I appreciate you telling me that detail.,neutral
patient,Should I floss around that tooth?,neutral
dentist,"Based on your symptoms, everything looks manageable from what i can see so far.",neutral
patient,I wanted to mention that it bothered me while chewing.,neutral
dentist,"For this wisdom tooth care, I will proceed gently.",neutral
patient,"At home, it bothered me while chewing.",neutral
dentist,"For this wisdom tooth care, I will proceed gently.",neutral
patient,"At home, the pain was worse at night.",neutral
dentist,I appreciate you telling me that detail.,neutral
patient,I wanted to mention that warm salt water helped.,neutral
dentist,"For this wisdom tooth care, I will proceed gently.",neutral
patient,I am really happy my tooth can be treated today.,happy
dentist,That matches what I would expect with this kind of visit.,neutral
patient,Can sensitivity last a few days?,neutral
dentist,We can finish this in a straightforward visit.,neutral
patient,I noticed that today it is only a little tender.,neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,"Since my last visit, today it is only a little tender.",neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,I wanted to mention that today it is only a little tender.,neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,I noticed that it bothered me while chewing.,neutral
dentist,A follow-up visit will help us confirm the healing.,neutral
patient,"Thank you doctor, I am happy to know what is going on and what to do next.",happy
dentist,You did very well today. Keep following the care instructions and we will see you at the next visit.,neutral
patient,"Hi doctor, an old filling felt rough, so I came in before it caused trouble.",neutral
dentist,That was a smart decision. Let me examine the old filling and the surrounding tooth.,neutral
patient,I noticed that I noticed it with my tongue.,neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,"Since my last visit, I noticed it with my tongue.",neutral
dentist,The tooth structure is still in good shape.,neutral
patient,Is there any sign of infection?,neutral
dentist,"For this replacement filling, I will proceed gently.",neutral
patient,What treatment do you recommend?,neutral
dentist,I appreciate you telling me that detail.,neutral
patient,I wanted to mention that it feels uneven.,neutral
dentist,"For this replacement filling, I will proceed gently.",neutral
patient,"That sounds great, I am happy about it.",happy
dentist,"For this replacement filling, I will proceed gently.",neutral
patient,"Since my last visit, there is no major pain.",neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,Should I avoid certain foods?,neutral
dentist,You can rinse whenever you need a break.,neutral
patient,I wanted to mention that I noticed it with my tongue.,neutral
dentist,I appreciate you telling me that detail.,neutral
patient,I noticed that sometimes it catches food.,neutral
dentist,Avoid very hard food for the rest of the day.,neutral
patient,"At home, I want to fix it before it cracks.",neutral
dentist,"Take your time, you are doing well.",neutral
patient,I am so happy everything looks better now.,happy
dentist,"For this replacement filling, I will proceed gently.",neutral
patient,Should I floss around that tooth?,neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,I wanted to mention that there is no major pain.,neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,Will the filling match my tooth color?,neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,I noticed that sometimes it catches food.,neutral
dentist,"For this replacement filling, I will proceed gently.",neutral
patient,I wanted to mention that it feels uneven.,neutral
dentist,I will clean the surface gently first.,neutral
patient,"That sounds great, I am happy about it.",happy
dentist,"Based on your symptoms, i recommend using a soft brush and gentle pressure.",neutral
patient,I wanted to mention that sometimes it catches food.,neutral
dentist,"Based on your symptoms, please let me know right away if anything feels sharp.",neutral
patient,I wanted to mention that there is no major pain.,neutral
dentist,I appreciate you telling me that detail.,neutral
patient,I wanted to mention that I noticed it with my tongue.,neutral
dentist,"For this replacement filling, I will proceed gently.",neutral
patient,Can I drink coffee later?,neutral
dentist,"Based on your symptoms, avoid very hard food for the rest of the day.",neutral
patient,Would you like me to open wider?,neutral
dentist,A follow-up visit will help us confirm the healing.,neutral
patient,I am very happy the new filling feels smooth and comfortable.,happy
dentist,You did very well today. Keep following the care instructions and we will see you at the next visit.,neutral
patient,"Hello doctor, my teeth felt a bit sensitive after whitening, but I am still happy with the brighter smile.",neutral
dentist,That can happen sometimes. Let us check the sensitivity and make sure everything looks healthy.,neutral
patient,"At home, it is improving each day.",neutral
dentist,I appreciate you telling me that detail.,neutral
patient,I noticed that I used the gel as instructed.,neutral
dentist,"Based on your symptoms, your gums are responding well to your home care.",neutral
patient,I noticed that it is improving each day.,neutral
dentist,I do not see anything alarming at the moment.,neutral
patient,"At home, cold water triggers it.",neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,"At home, I used the gel as instructed.",neutral
dentist,I appreciate you telling me that detail.,neutral
patient,That makes me feel happy and relieved.,happy
dentist,I recommend using a soft brush and gentle pressure.,neutral
patient,"At home, it is improving each day.",neutral
dentist,Please let me know right away if anything feels sharp.,neutral
patient,Should I avoid certain foods?,neutral
dentist,You can rinse whenever you need a break.,neutral
patient,"At home, the front teeth are most sensitive.",neutral
dentist,The gum tissue looks calmer than before.,neutral
patient,Do I need another visit?,neutral
dentist,That matches what I would expect with this kind of visit.,neutral
patient,I noticed that the front teeth are most sensitive.,neutral
dentist,I appreciate you telling me that detail.,neutral
patient,I am happy the treatment is going smoothly.,happy
dentist,I appreciate you telling me that detail.,neutral
patient,"At home, it is improving each day.",neutral
dentist,I can adjust the treatment based on your comfort.,neutral
patient,"At home, the discomfort is mild.",neutral
dentist,I will explain each step before we do anything.,neutral
patient,I wanted to mention that cold water triggers it.,neutral
dentist,I appreciate you telling me that detail.,neutral
patient,"At home, cold water triggers it.",neutral
dentist,I appreciate you telling me that detail.,neutral
