utterance,emotion,clean_text,tokens
"Hello doctor, I came to check the tooth that was prepared for a crown.",neutral,hello doctor i came to check the tooth that was prepared for a crown,"['hello', 'doctor', 'i', 'came', 'to', 'check', 'the', 'tooth', 'that', 'was', 'prepared', 'for', 'a', 'crown']"
I noticed that it has stayed in place.,neutral,i noticed that it has stayed in place,"['i', 'noticed', 'that', 'it', 'has', 'stayed', 'in', 'place']"
Does the tooth look serious?,neutral,does the tooth look serious,"['does', 'the', 'tooth', 'look', 'serious']"
I wanted to mention that it has stayed in place.,neutral,i wanted to mention that it has stayed in place,"['i', 'wanted', 'to', 'mention', 'that', 'it', 'has', 'stayed', 'in', 'place']"
"Since my last visit, the bite feels almost normal.",neutral,since my last visit the bite feels almost normal,"['since', 'my', 'last', 'visit', 'the', 'bite', 'feels', 'almost', 'normal']"
Will it take long today?,neutral,will it take long today,"['will', 'it', 'take', 'long', 'today']"
I am happy the treatment is going smoothly.,happy,i am happy the treatment is going smoothly,"['i', 'am', 'happy', 'the', 'treatment', 'is', 'going', 'smoothly']"
"Since my last visit, I can chew soft food.",neutral,since my last visit i can chew soft food,"['since', 'my', 'last', 'visit', 'i', 'can', 'chew', 'soft', 'food']"
I noticed that I am careful when brushing around it.,neutral,i noticed that i am careful when brushing around it,"['i', 'noticed', 'that', 'i', 'am', 'careful', 'when', 'brushing', 'around', 'it']"
"Since my last visit, I am careful when brushing around it.",neutral,since my last visit i am careful when brushing around it,"['since', 'my', 'last', 'visit', 'i', 'am', 'careful', 'when', 'brushing', 'around', 'it']"
I wanted to mention that I am careful when brushing around it.,neutral,i wanted to mention that i am careful when brushing around it,"['i', 'wanted', 'to', 'mention', 'that', 'i', 'am', 'careful', 'when', 'brushing', 'around', 'it']"
"Since my last visit, there is mild sensitivity only.",neutral,since my last visit there is mild sensitivity only,"['since', 'my', 'last', 'visit', 'there', 'is', 'mild', 'sensitivity', 'only']"
I am so happy everything looks better now.,happy,i am so happy everything looks better now,"['i', 'am', 'so', 'happy', 'everything', 'looks', 'better', 'now']"
Should I floss around that tooth?,neutral,should i floss around that tooth,"['should', 'i', 'floss', 'around', 'that', 'tooth']"
"Since my last visit, it has stayed in place.",neutral,since my last visit it has stayed in place,"['since', 'my', 'last', 'visit', 'it', 'has', 'stayed', 'in', 'place']"
I noticed that the bite feels almost normal.,neutral,i noticed that the bite feels almost normal,"['i', 'noticed', 'that', 'the', 'bite', 'feels', 'almost', 'normal']"
I wanted to mention that I am careful when brushing around it.,neutral,i wanted to mention that i am careful when brushing around it,"['i', 'wanted', 'to', 'mention', 'that', 'i', 'am', 'careful', 'when', 'brushing', 'around', 'it']"
"Since my last visit, there is mild sensitivity only.",neutral,since my last visit there is mild sensitivity only,"['since', 'my', 'last', 'visit', 'there', 'is', 'mild', 'sensitivity', 'only']"
I am happy because this is better than I expected.,happy,i am happy because this is better than i expected,"['i', 'am', 'happy', 'because', 'this', 'is', 'better', 'than', 'i', 'expected']"
I noticed that it has stayed in place.,neutral,i noticed that it has stayed in place,"['i', 'noticed', 'that', 'it', 'has', 'stayed', 'in', 'place']"
"At home, there is mild sensitivity only.",neutral,at home there is mild sensitivity only,"['at', 'home', 'there', 'is', 'mild', 'sensitivity', 'only']"
"Since my last visit, I am careful when brushing around it.",neutral,since my last visit i am careful when brushing around it,"['since', 'my', 'last', 'visit', 'i', 'am', 'careful', 'when', 'brushing', 'around', 'it']"
I wanted to mention that I am careful when brushing around it.,neutral,i wanted to mention that i am careful when brushing around it,"['i', 'wanted', 'to', 'mention', 'that', 'i', 'am', 'careful', 'when', 'brushing', 'around', 'it']"
"At home, I am careful when brushing around it.",neutral,at home i am careful when brushing around it,"['at', 'home', 'i', 'am', 'careful', 'when', 'brushing', 'around', 'it']"
I am happy the crown process is going smoothly.,happy,i am happy the crown process is going smoothly,"['i', 'am', 'happy', 'the', 'crown', 'process', 'is', 'going', 'smoothly']"
"Hi doctor, I had a little tooth pain on the left side, but I am glad I could come in today.",happy,hi doctor i had a little tooth pain on the left side but i am glad i could come in today,"['hi', 'doctor', 'i', 'had', 'a', 'little', 'tooth', 'pain', 'on', 'the', 'left', 'side', 'but', 'i', 'am', 'glad', 'i', 'could', 'come', 'in', 'today']"
Could you tell me what you see?,neutral,could you tell me what you see,"['could', 'you', 'tell', 'me', 'what', 'you', 'see']"
I wanted to mention that the pain comes and goes.,neutral,i wanted to mention that the pain comes and goes,"['i', 'wanted', 'to', 'mention', 'that', 'the', 'pain', 'comes', 'and', 'goes']"
"Since my last visit, I can still chew, just carefully.",neutral,since my last visit i can still chew just carefully,"['since', 'my', 'last', 'visit', 'i', 'can', 'still', 'chew', 'just', 'carefully']"
"Since my last visit, I think food gets stuck there.",neutral,since my last visit i think food gets stuck there,"['since', 'my', 'last', 'visit', 'i', 'think', 'food', 'gets', 'stuck', 'there']"
"Since my last visit, it started three days ago.",neutral,since my last visit it started three days ago,"['since', 'my', 'last', 'visit', 'it', 'started', 'three', 'days', 'ago']"
"Wonderful, I am very happy with that result.",happy,wonderful i am very happy with that result,"['wonderful', 'i', 'am', 'very', 'happy', 'with', 'that', 'result']"
"Since my last visit, the pain comes and goes.",neutral,since my last visit the pain comes and goes,"['since', 'my', 'last', 'visit', 'the', 'pain', 'comes', 'and', 'goes']"
"Since my last visit, cold drinks make it sensitive.",neutral,since my last visit cold drinks make it sensitive,"['since', 'my', 'last', 'visit', 'cold', 'drinks', 'make', 'it', 'sensitive']"
Is the area healing well?,neutral,is the area healing well,"['is', 'the', 'area', 'healing', 'well']"
"I wanted to mention that I can still chew, just carefully.",neutral,i wanted to mention that i can still chew just carefully,"['i', 'wanted', 'to', 'mention', 'that', 'i', 'can', 'still', 'chew', 'just', 'carefully']"
Can I brush normally tonight?,neutral,can i brush normally tonight,"['can', 'i', 'brush', 'normally', 'tonight']"
I am happy because this is better than I expected.,happy,i am happy because this is better than i expected,"['i', 'am', 'happy', 'because', 'this', 'is', 'better', 'than', 'i', 'expected']"
I wanted to mention that it started three days ago.,neutral,i wanted to mention that it started three days ago,"['i', 'wanted', 'to', 'mention', 'that', 'it', 'started', 'three', 'days', 'ago']"
"I noticed that I can still chew, just carefully.",neutral,i noticed that i can still chew just carefully,"['i', 'noticed', 'that', 'i', 'can', 'still', 'chew', 'just', 'carefully']"
"Since my last visit, I can still chew, just carefully.",neutral,since my last visit i can still chew just carefully,"['since', 'my', 'last', 'visit', 'i', 'can', 'still', 'chew', 'just', 'carefully']"
"I wanted to mention that I can still chew, just carefully.",neutral,i wanted to mention that i can still chew just carefully,"['i', 'wanted', 'to', 'mention', 'that', 'i', 'can', 'still', 'chew', 'just', 'carefully']"
"At home, I can still chew, just carefully.",neutral,at home i can still chew just carefully,"['at', 'home', 'i', 'can', 'still', 'chew', 'just', 'carefully']"
I am really happy my tooth can be treated today.,happy,i am really happy my tooth can be treated today,"['i', 'am', 'really', 'happy', 'my', 'tooth', 'can', 'be', 'treated', 'today']"
I wanted to mention that it started three days ago.,neutral,i wanted to mention that it started three days ago,"['i', 'wanted', 'to', 'mention', 'that', 'it', 'started', 'three', 'days', 'ago']"
"At home, it started three days ago.",neutral,at home it started three days ago,"['at', 'home', 'it', 'started', 'three', 'days', 'ago']"
Does the bite look even?,neutral,does the bite look even,"['does', 'the', 'bite', 'look', 'even']"
"Since my last visit, I think food gets stuck there.",neutral,since my last visit i think food gets stuck there,"['since', 'my', 'last', 'visit', 'i', 'think', 'food', 'gets', 'stuck', 'there']"
"At home, I can still chew, just carefully.",neutral,at home i can still chew just carefully,"['at', 'home', 'i', 'can', 'still', 'chew', 'just', 'carefully']"
The filling looks great and I am really happy it was easier than I expected.,happy,the filling looks great and i am really happy it was easier than i expected,"['the', 'filling', 'looks', 'great', 'and', 'i', 'am', 'really', 'happy', 'it', 'was', 'easier', 'than', 'i', 'expected']"
"Good morning doctor, I am here for my regular check-up and cleaning.",neutral,good morning doctor i am here for my regular checkup and cleaning,"['good', 'morning', 'doctor', 'i', 'am', 'here', 'for', 'my', 'regular', 'checkup', 'and', 'cleaning']"
I noticed that I have been flossing more often.,neutral,i noticed that i have been flossing more often,"['i', 'noticed', 'that', 'i', 'have', 'been', 'flossing', 'more', 'often']"
"Since my last visit, I have been flossing more often.",neutral,since my last visit i have been flossing more often,"['since', 'my', 'last', 'visit', 'i', 'have', 'been', 'flossing', 'more', 'often']"
Is there any sign of infection?,neutral,is there any sign of infection,"['is', 'there', 'any', 'sign', 'of', 'infection']"
I noticed that I changed to a softer toothbrush.,neutral,i noticed that i changed to a softer toothbrush,"['i', 'noticed', 'that', 'i', 'changed', 'to', 'a', 'softer', 'toothbrush']"
Will it take long today?,neutral,will it take long today,"['will', 'it', 'take', 'long', 'today']"
I am happy because this is better than I expected.,happy,i am happy because this is better than i expected,"['i', 'am', 'happy', 'because', 'this', 'is', 'better', 'than', 'i', 'expected']"
I wanted to mention that I changed to a softer toothbrush.,neutral,i wanted to mention that i changed to a softer toothbrush,"['i', 'wanted', 'to', 'mention', 'that', 'i', 'changed', 'to', 'a', 'softer', 'toothbrush']"
"At home, I changed to a softer toothbrush.",neutral,at home i changed to a softer toothbrush,"['at', 'home', 'i', 'changed', 'to', 'a', 'softer', 'toothbrush']"
I wanted to mention that I have been flossing more often.,neutral,i wanted to mention that i have been flossing more often,"['i', 'wanted', 'to', 'mention', 'that', 'i', 'have', 'been', 'flossing', 'more', 'often']"
I wanted to mention that I want to keep my teeth clean.,neutral,i wanted to mention that i want to keep my teeth clean,"['i', 'wanted', 'to', 'mention', 'that', 'i', 'want', 'to', 'keep', 'my', 'teeth', 'clean']"
Can I brush normally tonight?,neutral,can i brush normally tonight,"['can', 'i', 'brush', 'normally', 'tonight']"
I am so happy everything looks better now.,happy,i am so happy everything looks better now,"['i', 'am', 'so', 'happy', 'everything', 'looks', 'better', 'now']"
Should I floss around that tooth?,neutral,should i floss around that tooth,"['should', 'i', 'floss', 'around', 'that', 'tooth']"
"At home, I changed to a softer toothbrush.",neutral,at home i changed to a softer toothbrush,"['at', 'home', 'i', 'changed', 'to', 'a', 'softer', 'toothbrush']"
I noticed that I reduced sugary drinks.,neutral,i noticed that i reduced sugary drinks,"['i', 'noticed', 'that', 'i', 'reduced', 'sugary', 'drinks']"
Do my gums look healthier now?,neutral,do my gums look healthier now,"['do', 'my', 'gums', 'look', 'healthier', 'now']"
I wanted to mention that I reduced sugary drinks.,neutral,i wanted to mention that i reduced sugary drinks,"['i', 'wanted', 'to', 'mention', 'that', 'i', 'reduced', 'sugary', 'drinks']"
I am really happy my tooth can be treated today.,happy,i am really happy my tooth can be treated today,"['i', 'am', 'really', 'happy', 'my', 'tooth', 'can', 'be', 'treated', 'today']"
"At home, I reduced sugary drinks.",neutral,at home i reduced sugary drinks,"['at', 'home', 'i', 'reduced', 'sugary', 'drinks']"
"Since my last visit, I have been flossing more often.",neutral,since my last visit i have been flossing more often,"['since', 'my', 'last', 'visit', 'i', 'have', 'been', 'flossing', 'more', 'often']"
"At home, my gums feel better lately.",neutral,at home my gums feel better lately,"['at', 'home', 'my', 'gums', 'feel', 'better', 'lately']"
I wanted to mention that I want to keep my teeth clean.,neutral,i wanted to mention that i want to keep my teeth clean,"['i', 'wanted', 'to', 'mention', 'that', 'i', 'want', 'to', 'keep', 'my', 'teeth', 'clean']"
I wanted to mention that I reduced sugary drinks.,neutral,i wanted to mention that i reduced sugary drinks,"['i', 'wanted', 'to', 'mention', 'that', 'i', 'reduced', 'sugary', 'drinks']"
"Thank you, my teeth feel so fresh now and I am very happy with the result.",happy,thank you my teeth feel so fresh now and i am very happy with the result,"['thank', 'you', 'my', 'teeth', 'feel', 'so', 'fresh', 'now', 'and', 'i', 'am', 'very', 'happy', 'with', 'the', 'result']"
"Hello doctor, I think I may have a cavity, but I feel better knowing you will check it.",neutral,hello doctor i think i may have a cavity but i feel better knowing you will check it,"['hello', 'doctor', 'i', 'think', 'i', 'may', 'have', 'a', 'cavity', 'but', 'i', 'feel', 'better', 'knowing', 'you', 'will', 'check', 'it']"
I wanted to mention that there is mild sensitivity when I bite.,neutral,i wanted to mention that there is mild sensitivity when i bite,"['i', 'wanted', 'to', 'mention', 'that', 'there', 'is', 'mild', 'sensitivity', 'when', 'i', 'bite']"
"Since my last visit, I noticed a dark spot.",neutral,since my last visit i noticed a dark spot,"['since', 'my', 'last', 'visit', 'i', 'noticed', 'a', 'dark', 'spot']"
"Since my last visit, I came in early because I did not want it to get worse.",neutral,since my last visit i came in early because i did not want it to get worse,"['since', 'my', 'last', 'visit', 'i', 'came', 'in', 'early', 'because', 'i', 'did', 'not', 'want', 'it', 'to', 'get', 'worse']"
I wanted to mention that I came in early because I did not want it to get worse.,neutral,i wanted to mention that i came in early because i did not want it to get worse,"['i', 'wanted', 'to', 'mention', 'that', 'i', 'came', 'in', 'early', 'because', 'i', 'did', 'not', 'want', 'it', 'to', 'get', 'worse']"
"Since my last visit, there is mild sensitivity when I bite.",neutral,since my last visit there is mild sensitivity when i bite,"['since', 'my', 'last', 'visit', 'there', 'is', 'mild', 'sensitivity', 'when', 'i', 'bite']"
I am so happy everything looks better now.,happy,i am so happy everything looks better now,"['i', 'am', 'so', 'happy', 'everything', 'looks', 'better', 'now']"
Do I need an x-ray?,neutral,do i need an xray,"['do', 'i', 'need', 'an', 'xray']"
"Since my last visit, I noticed a dark spot.",neutral,since my last visit i noticed a dark spot,"['since', 'my', 'last', 'visit', 'i', 'noticed', 'a', 'dark', 'spot']"
"At home, sweet foods make it ache.",neutral,at home sweet foods make it ache,"['at', 'home', 'sweet', 'foods', 'make', 'it', 'ache']"
Do I need another visit?,neutral,do i need another visit,"['do', 'i', 'need', 'another', 'visit']"
Can I brush normally tonight?,neutral,can i brush normally tonight,"['can', 'i', 'brush', 'normally', 'tonight']"
That makes me feel happy and relieved.,happy,that makes me feel happy and relieved,"['that', 'makes', 'me', 'feel', 'happy', 'and', 'relieved']"
I noticed that I noticed a dark spot.,neutral,i noticed that i noticed a dark spot,"['i', 'noticed', 'that', 'i', 'noticed', 'a', 'dark', 'spot']"
I wanted to mention that sweet foods make it ache.,neutral,i wanted to mention that sweet foods make it ache,"['i', 'wanted', 'to', 'mention', 'that', 'sweet', 'foods', 'make', 'it', 'ache']"
"At home, sweet foods make it ache.",neutral,at home sweet foods make it ache,"['at', 'home', 'sweet', 'foods', 'make', 'it', 'ache']"
I wanted to mention that I came in early because I did not want it to get worse.,neutral,i wanted to mention that i came in early because i did not want it to get worse,"['i', 'wanted', 'to', 'mention', 'that', 'i', 'came', 'in', 'early', 'because', 'i', 'did', 'not', 'want', 'it', 'to', 'get', 'worse']"
Is there anything I should change at home?,neutral,is there anything i should change at home,"['is', 'there', 'anything', 'i', 'should', 'change', 'at', 'home']"
"That sounds great, I am happy about it.",happy,that sounds great i am happy about it,"['that', 'sounds', 'great', 'i', 'am', 'happy', 'about', 'it']"
I noticed that I noticed a dark spot.,neutral,i noticed that i noticed a dark spot,"['i', 'noticed', 'that', 'i', 'noticed', 'a', 'dark', 'spot']"
I wanted to mention that sweet foods make it ache.,neutral,i wanted to mention that sweet foods make it ache,"['i', 'wanted', 'to', 'mention', 'that', 'sweet', 'foods', 'make', 'it', 'ache']"
I noticed that I have no swelling.,neutral,i noticed that i have no swelling,"['i', 'noticed', 'that', 'i', 'have', 'no', 'swelling']"
"Since my last visit, I have no swelling.",neutral,since my last visit i have no swelling,"['since', 'my', 'last', 'visit', 'i', 'have', 'no', 'swelling']"
I wanted to mention that I have no swelling.,neutral,i wanted to mention that i have no swelling,"['i', 'wanted', 'to', 'mention', 'that', 'i', 'have', 'no', 'swelling']"
I am happy we treated the cavity early and saved the tooth.,happy,i am happy we treated the cavity early and saved the tooth,"['i', 'am', 'happy', 'we', 'treated', 'the', 'cavity', 'early', 'and', 'saved', 'the', 'tooth']"
"Hi doctor, I came for my gum treatment follow-up and I think things are improving.",neutral,hi doctor i came for my gum treatment followup and i think things are improving,"['hi', 'doctor', 'i', 'came', 'for', 'my', 'gum', 'treatment', 'followup', 'and', 'i', 'think', 'things', 'are', 'improving']"
"At home, I have been using the mouthwash.",neutral,at home i have been using the mouthwash,"['at', 'home', 'i', 'have', 'been', 'using', 'the', 'mouthwash']"
Does the tooth look serious?,neutral,does the tooth look serious,"['does', 'the', 'tooth', 'look', 'serious']"
Is there any sign of infection?,neutral,is there any sign of infection,"['is', 'there', 'any', 'sign', 'of', 'infection']"
I wanted to mention that I followed the cleaning instructions carefully.,neutral,i wanted to mention that i followed the cleaning instructions carefully,"['i', 'wanted', 'to', 'mention', 'that', 'i', 'followed', 'the', 'cleaning', 'instructions', 'carefully']"
I noticed that the swelling looks smaller.,neutral,i noticed that the swelling looks smaller,"['i', 'noticed', 'that', 'the', 'swelling', 'looks', 'smaller']"
I am happy I came in early.,happy,i am happy i came in early,"['i', 'am', 'happy', 'i', 'came', 'in', 'early']"
Do I need an x-ray?,neutral,do i need an xray,"['do', 'i', 'need', 'an', 'xray']"
Should I avoid certain foods?,neutral,should i avoid certain foods,"['should', 'i', 'avoid', 'certain', 'foods']"
"At home, the swelling looks smaller.",neutral,at home the swelling looks smaller,"['at', 'home', 'the', 'swelling', 'looks', 'smaller']"
I wanted to mention that I followed the cleaning instructions carefully.,neutral,i wanted to mention that i followed the cleaning instructions carefully,"['i', 'wanted', 'to', 'mention', 'that', 'i', 'followed', 'the', 'cleaning', 'instructions', 'carefully']"
"At home, I followed the cleaning instructions carefully.",neutral,at home i followed the cleaning instructions carefully,"['at', 'home', 'i', 'followed', 'the', 'cleaning', 'instructions', 'carefully']"
I am so happy everything looks better now.,happy,i am so happy everything looks better now,"['i', 'am', 'so', 'happy', 'everything', 'looks', 'better', 'now']"
Should I floss around that tooth?,neutral,should i floss around that tooth,"['should', 'i', 'floss', 'around', 'that', 'tooth']"
Is a numbing injection necessary?,neutral,is a numbing injection necessary,"['is', 'a', 'numbing', 'injection', 'necessary']"
"Since my last visit, I followed the cleaning instructions carefully.",neutral,since my last visit i followed the cleaning instructions carefully,"['since', 'my', 'last', 'visit', 'i', 'followed', 'the', 'cleaning', 'instructions', 'carefully']"
"Since my last visit, I have been using the mouthwash.",neutral,since my last visit i have been using the mouthwash,"['since', 'my', 'last', 'visit', 'i', 'have', 'been', 'using', 'the', 'mouthwash']"
I wanted to mention that I have been using the mouthwash.,neutral,i wanted to mention that i have been using the mouthwash,"['i', 'wanted', 'to', 'mention', 'that', 'i', 'have', 'been', 'using', 'the', 'mouthwash']"
I am happy I came in early.,happy,i am happy i came in early,"['i', 'am', 'happy', 'i', 'came', 'in', 'early']"
"Since my last visit, the swelling looks smaller.",neutral,since my last visit the swelling looks smaller,"['since', 'my', 'last', 'visit', 'the', 'swelling', 'looks', 'smaller']"
"Since my last visit, the bleeding has reduced.",neutral,since my last visit the bleeding has reduced,"['since', 'my', 'last', 'visit', 'the', 'bleeding', 'has', 'reduced']"
I wanted to mention that the bleeding has reduced.,neutral,i wanted to mention that the bleeding has reduced,"['i', 'wanted', 'to', 'mention', 'that', 'the', 'bleeding', 'has', 'reduced']"
"At home, the bleeding has reduced.",neutral,at home the bleeding has reduced,"['at', 'home', 'the', 'bleeding', 'has', 'reduced']"
"Since my last visit, brushing is more comfortable.",neutral,since my last visit brushing is more comfortable,"['since', 'my', 'last', 'visit', 'brushing', 'is', 'more', 'comfortable']"
"That is wonderful, I am happy my gums are healing so well.",happy,that is wonderful i am happy my gums are healing so well,"['that', 'is', 'wonderful', 'i', 'am', 'happy', 'my', 'gums', 'are', 'healing', 'so', 'well']"
"Hello doctor, my back tooth was sore, but today it feels calmer and I am relieved.",happy,hello doctor my back tooth was sore but today it feels calmer and i am relieved,"['hello', 'doctor', 'my', 'back', 'tooth', 'was', 'sore', 'but', 'today', 'it', 'feels', 'calmer', 'and', 'i', 'am', 'relieved']"
I noticed that the pain was worse at night.,neutral,i noticed that the pain was worse at night,"['i', 'noticed', 'that', 'the', 'pain', 'was', 'worse', 'at', 'night']"
I noticed that today it is only a little tender.,neutral,i noticed that today it is only a little tender,"['i', 'noticed', 'that', 'today', 'it', 'is', 'only', 'a', 'little', 'tender']"
Is there any sign of infection?,neutral,is there any sign of infection,"['is', 'there', 'any', 'sign', 'of', 'infection']"
"At home, the pain was worse at night.",neutral,at home the pain was worse at night,"['at', 'home', 'the', 'pain', 'was', 'worse', 'at', 'night']"
Will it take long today?,neutral,will it take long today,"['will', 'it', 'take', 'long', 'today']"
I am really happy my tooth can be treated today.,happy,i am really happy my tooth can be treated today,"['i', 'am', 'really', 'happy', 'my', 'tooth', 'can', 'be', 'treated', 'today']"
"At home, warm salt water helped.",neutral,at home warm salt water helped,"['at', 'home', 'warm', 'salt', 'water', 'helped']"
I wanted to mention that it bothered me while chewing.,neutral,i wanted to mention that it bothered me while chewing,"['i', 'wanted', 'to', 'mention', 'that', 'it', 'bothered', 'me', 'while', 'chewing']"
"Since my last visit, today it is only a little tender.",neutral,since my last visit today it is only a little tender,"['since', 'my', 'last', 'visit', 'today', 'it', 'is', 'only', 'a', 'little', 'tender']"
"At home, the pain was worse at night.",neutral,at home the pain was worse at night,"['at', 'home', 'the', 'pain', 'was', 'worse', 'at', 'night']"
I noticed that it bothered me while chewing.,neutral,i noticed that it bothered me while chewing,"['i', 'noticed', 'that', 'it', 'bothered', 'me', 'while', 'chewing']"
"Wonderful, I am very happy with that result.",happy,wonderful i am very happy with that result,"['wonderful', 'i', 'am', 'very', 'happy', 'with', 'that', 'result']"
"At home, warm salt water helped.",neutral,at home warm salt water helped,"['at', 'home', 'warm', 'salt', 'water', 'helped']"
"Since my last visit, the pain was worse at night.",neutral,since my last visit the pain was worse at night,"['since', 'my', 'last', 'visit', 'the', 'pain', 'was', 'worse', 'at', 'night']"
I wanted to mention that the pain was worse at night.,neutral,i wanted to mention that the pain was worse at night,"['i', 'wanted', 'to', 'mention', 'that', 'the', 'pain', 'was', 'worse', 'at', 'night']"
Do my gums look healthier now?,neutral,do my gums look healthier now,"['do', 'my', 'gums', 'look', 'healthier', 'now']"
"At home, today it is only a little tender.",neutral,at home today it is only a little tender,"['at', 'home', 'today', 'it', 'is', 'only', 'a', 'little', 'tender']"
I am so happy everything looks better now.,happy,i am so happy everything looks better now,"['i', 'am', 'so', 'happy', 'everything', 'looks', 'better', 'now']"
"At home, warm salt water helped.",neutral,at home warm salt water helped,"['at', 'home', 'warm', 'salt', 'water', 'helped']"
"At home, the gum felt irritated.",neutral,at home the gum felt irritated,"['at', 'home', 'the', 'gum', 'felt', 'irritated']"
"Since my last visit, today it is only a little tender.",neutral,since my last visit today it is only a little tender,"['since', 'my', 'last', 'visit', 'today', 'it', 'is', 'only', 'a', 'little', 'tender']"
I wanted to mention that today it is only a little tender.,neutral,i wanted to mention that today it is only a little tender,"['i', 'wanted', 'to', 'mention', 'that', 'today', 'it', 'is', 'only', 'a', 'little', 'tender']"
I noticed that it bothered me while chewing.,neutral,i noticed that it bothered me while chewing,"['i', 'noticed', 'that', 'it', 'bothered', 'me', 'while', 'chewing']"
"Thank you doctor, I am happy to know what is going on and what to do next.",happy,thank you doctor i am happy to know what is going on and what to do next,"['thank', 'you', 'doctor', 'i', 'am', 'happy', 'to', 'know', 'what', 'is', 'going', 'on', 'and', 'what', 'to', 'do', 'next']"
"Hi doctor, an old filling felt rough, so I came in before it caused trouble.",neutral,hi doctor an old filling felt rough so i came in before it caused trouble,"['hi', 'doctor', 'an', 'old', 'filling', 'felt', 'rough', 'so', 'i', 'came', 'in', 'before', 'it', 'caused', 'trouble']"
"Since my last visit, there is no major pain.",neutral,since my last visit there is no major pain,"['since', 'my', 'last', 'visit', 'there', 'is', 'no', 'major', 'pain']"
I wanted to mention that there is no major pain.,neutral,i wanted to mention that there is no major pain,"['i', 'wanted', 'to', 'mention', 'that', 'there', 'is', 'no', 'major', 'pain']"
I noticed that it feels uneven.,neutral,i noticed that it feels uneven,"['i', 'noticed', 'that', 'it', 'feels', 'uneven']"
"Since my last visit, it feels uneven.",neutral,since my last visit it feels uneven,"['since', 'my', 'last', 'visit', 'it', 'feels', 'uneven']"
Will it take long today?,neutral,will it take long today,"['will', 'it', 'take', 'long', 'today']"
That makes me feel happy and relieved.,happy,that makes me feel happy and relieved,"['that', 'makes', 'me', 'feel', 'happy', 'and', 'relieved']"
"Since my last visit, there is no major pain.",neutral,since my last visit there is no major pain,"['since', 'my', 'last', 'visit', 'there', 'is', 'no', 'major', 'pain']"
"At home, sometimes it catches food.",neutral,at home sometimes it catches food,"['at', 'home', 'sometimes', 'it', 'catches', 'food']"
I wanted to mention that I noticed it with my tongue.,neutral,i wanted to mention that i noticed it with my tongue,"['i', 'wanted', 'to', 'mention', 'that', 'i', 'noticed', 'it', 'with', 'my', 'tongue']"
"At home, I noticed it with my tongue.",neutral,at home i noticed it with my tongue,"['at', 'home', 'i', 'noticed', 'it', 'with', 'my', 'tongue']"
"Since my last visit, sometimes it catches food.",neutral,since my last visit sometimes it catches food,"['since', 'my', 'last', 'visit', 'sometimes', 'it', 'catches', 'food']"
I am so happy everything looks better now.,happy,i am so happy everything looks better now,"['i', 'am', 'so', 'happy', 'everything', 'looks', 'better', 'now']"
I wanted to mention that sometimes it catches food.,neutral,i wanted to mention that sometimes it catches food,"['i', 'wanted', 'to', 'mention', 'that', 'sometimes', 'it', 'catches', 'food']"
I wanted to mention that there is no major pain.,neutral,i wanted to mention that there is no major pain,"['i', 'wanted', 'to', 'mention', 'that', 'there', 'is', 'no', 'major', 'pain']"
"At home, there is no major pain.",neutral,at home there is no major pain,"['at', 'home', 'there', 'is', 'no', 'major', 'pain']"
"Since my last visit, it feels uneven.",neutral,since my last visit it feels uneven,"['since', 'my', 'last', 'visit', 'it', 'feels', 'uneven']"
I wanted to mention that it feels uneven.,neutral,i wanted to mention that it feels uneven,"['i', 'wanted', 'to', 'mention', 'that', 'it', 'feels', 'uneven']"
That makes me feel happy and relieved.,happy,that makes me feel happy and relieved,"['that', 'makes', 'me', 'feel', 'happy', 'and', 'relieved']"
Can sensitivity last a few days?,neutral,can sensitivity last a few days,"['can', 'sensitivity', 'last', 'a', 'few', 'days']"
"Since my last visit, I noticed it with my tongue.",neutral,since my last visit i noticed it with my tongue,"['since', 'my', 'last', 'visit', 'i', 'noticed', 'it', 'with', 'my', 'tongue']"
"Since my last visit, I want to fix it before it cracks.",neutral,since my last visit i want to fix it before it cracks,"['since', 'my', 'last', 'visit', 'i', 'want', 'to', 'fix', 'it', 'before', 'it', 'cracks']"
"Since my last visit, it feels uneven.",neutral,since my last visit it feels uneven,"['since', 'my', 'last', 'visit', 'it', 'feels', 'uneven']"
I noticed that there is no major pain.,neutral,i noticed that there is no major pain,"['i', 'noticed', 'that', 'there', 'is', 'no', 'major', 'pain']"
I am very happy the new filling feels smooth and comfortable.,happy,i am very happy the new filling feels smooth and comfortable,"['i', 'am', 'very', 'happy', 'the', 'new', 'filling', 'feels', 'smooth', 'and', 'comfortable']"
"Hello doctor, my teeth felt a bit sensitive after whitening, but I am still happy with the brighter smile.",neutral,hello doctor my teeth felt a bit sensitive after whitening but i am still happy with the brighter smile,"['hello', 'doctor', 'my', 'teeth', 'felt', 'a', 'bit', 'sensitive', 'after', 'whitening', 'but', 'i', 'am', 'still', 'happy', 'with', 'the', 'brighter', 'smile']"
Could you tell me what you see?,neutral,could you tell me what you see,"['could', 'you', 'tell', 'me', 'what', 'you', 'see']"
Does the tooth look serious?,neutral,does the tooth look serious,"['does', 'the', 'tooth', 'look', 'serious']"
I wanted to mention that cold water triggers it.,neutral,i wanted to mention that cold water triggers it,"['i', 'wanted', 'to', 'mention', 'that', 'cold', 'water', 'triggers', 'it']"
What treatment do you recommend?,neutral,what treatment do you recommend,"['what', 'treatment', 'do', 'you', 'recommend']"
